orderDate,orderDate_Year,orderDate_Quarter,orderDate_Month,orderDate_Week,orderDate_Date,fiscalMonth,fiscalQuart,fiscalWeek,fiscalYear
07/05/09,2009,3,7,28,5,4,2,15,2009
11/09/05,2005,4,11,46,9,8,3,33,2005
06/15/09,2009,2,6,25,15,3,1,12,2009
06/28/09,2009,2,6,27,28,3,1,14,2009
06/28/09,2009,2,6,27,28,3,1,14,2009
06/28/09,2009,2,6,27,28,3,1,14,2009
06/19/09,2009,2,6,25,19,3,1,12,2009
06/19/09,2009,2,6,25,19,3,1,12,2009
07/09/09,2009,3,7,28,9,4,2,15,2009
07/09/09,2009,3,7,28,9,4,2,15,2009
06/17/09,2009,2,6,25,17,3,1,12,2009
06/28/09,2009,2,6,27,28,3,1,14,2009
07/12/09,2009,3,7,29,12,4,2,16,2009
07/12/09,2009,3,7,29,12,4,2,16,2009
11/16/09,2009,4,11,47,16,8,3,34,2009
11/17/09,2009,4,11,47,17,8,3,34,2009
11/14/09,2009,4,11,46,14,8,3,33,2009
10/27/09,2009,4,10,44,27,7,3,31,2009
11/03/09,2009,4,11,45,3,8,3,32,2009
11/11/09,2009,4,11,46,11,8,3,33,2009
10/23/09,2009,4,10,43,23,7,3,30,2009
03/14/07,2007,1,3,11,14,12,4,50,2006
10/23/09,2009,4,10,43,23,7,3,30,2009
10/23/09,2009,4,10,43,23,7,3,30,2009
10/16/09,2009,4,10,42,16,7,3,29,2009
09/14/05,2005,3,9,38,14,6,2,25,2005
09/22/05,2005,3,9,39,22,6,2,26,2005
09/22/05,2005,3,9,39,22,6,2,26,2005
09/14/05,2005,3,9,38,14,6,2,25,2005
04/09/07,2007,2,4,15,9,1,1,2,2007
04/09/07,2007,2,4,15,9,1,1,2,2007
04/09/07,2007,2,4,15,9,1,1,2,2007
04/09/07,2007,2,4,15,9,1,1,2,2007
04/09/07,2007,2,4,15,9,1,1,2,2007
09/01/05,2005,3,9,36,1,6,2,23,2005
09/12/05,2005,3,9,38,12,6,2,25,2005
09/13/05,2005,3,9,38,13,6,2,25,2005
09/13/05,2005,3,9,38,13,6,2,25,2005
08/26/05,2005,3,8,35,26,5,2,22,2005
04/16/07,2007,2,4,16,16,1,1,3,2007
08/29/05,2005,3,8,36,29,5,2,23,2005
08/29/05,2005,3,8,36,29,5,2,23,2005
12/28/04,2004,4,12,1,28,9,3,40,2004
12/28/04,2004,4,12,1,28,9,3,40,2004
04/26/08,2008,2,4,17,26,1,1,4,2008
08/07/09,2009,3,8,32,7,5,2,19,2009
07/21/07,2007,3,7,29,21,4,2,16,2007
07/21/07,2007,3,7,29,21,4,2,16,2007
05/26/09,2009,2,5,22,26,2,1,9,2009
05/26/09,2009,2,5,22,26,2,1,9,2009
05/26/09,2009,2,5,22,26,2,1,9,2009
04/10/09,2009,2,4,15,10,1,1,2,2009
03/05/05,2005,1,3,10,5,12,4,49,2004
10/08/10,2010,4,10,41,8,7,3,28,2010
02/12/05,2005,1,2,7,12,11,4,46,2004
02/12/05,2005,1,2,7,12,11,4,46,2004
09/29/10,2010,3,9,40,29,6,2,27,2010
09/26/10,2010,3,9,40,26,6,2,27,2010
09/26/10,2010,3,9,40,26,6,2,27,2010
09/26/10,2010,3,9,40,26,6,2,27,2010
10/10/10,2010,4,10,42,10,7,3,29,2010
10/10/10,2010,4,10,42,10,7,3,29,2010
10/10/10,2010,4,10,42,10,7,3,29,2010
