PRODID,DESCRIPTION,PRICE1,PRICE2,PRODTYPEID,UNITCOST,SUPPLIERID,SUPPNAME,ADDRESS,CITY,STATE,ZIP,TYPEDESC,BUID,BUSINESSNAME,ABBREV,SALEBY,discounted
56             ,Allis Polishing Equipment        ,201.77,176.35,3              ,160.48,8              ,American General Ventures Incoporated. ,Kimberly Yarborough; 1616 Goggles Drive       ,Sterling        ,KS,67579          ,Polishing Equipment    ,A        ,Processing Equipment,Equipment,TPCE,0              
72             ,Anthem Tray Supplies             ,134.92,112.39,8              ,109.02,9              ,Fedders Corporation                    ,Virgil Hubert; 7844 Carelessly Drive          ,Overlook        ,WA,98366          ,Tray Supplies          ,B        ,Disposable Supplies ,Supplies,TPCE,0              
5              ,Automobiles Fillers              ,283.83,227.63,12             ,218.52,8              ,American General Ventures Incoporated. ,Kimberly Yarborough; 1616 Goggles Drive       ,Sterling        ,KS,67579          ,Fillers                ,D        ,Miscellaneous       ,Misc,TPCE,0              
24             ,Bandage Manufacturing Equipment  ,298   ,267.01,2              ,253.66,2              ,Sinclair Broadcast Group Incoporated.  ,Carla Shelby; 6037 Ecuadorian Street          ,Clinton         ,MI,49236          ,Manufacturing Equip    ,A        ,Processing Equipment,Equipment,TPCE,0              
98             ,Barrels Flushing Chemicals       ,135.1 ,116.59,10             ,108.43,1              ,Specialty Teleconstructors Incoporated.,Zylina Cox; 2161 Chalmers Street              ,Salinas         ,CA,93905          ,Flushing Chemicals     ,C        ,Chemicals           ,Chemicals,TPCE,0              
92             ,Behind Tray Supplies             ,166.65,138.99,8              ,129.26,7              ,Afg Industries Incoporated.            ,Dorothy Polk; 5377 Cookbook Circle            ,Vero Beach      ,FL,32967          ,Tray Supplies          ,B        ,Disposable Supplies ,Supplies,TPCE,1              
94             ,Beliefs Freezing Chemicals       ,566.64,483.91,11             ,454.88,4              ,Immunex Corporation                    ,Elbert Glad; 5841 Pervades Drive              ,Fairfax         ,VA,22035          ,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,TPCE,0              
93             ,Bellowing Polishing Equipment    ,502.57,451.31,3              ,446.8 ,6              ,First Bancshares Incoporated.          ,Jensine Lease; 11885 Aural Turnpike           ,Louisville      ,KY,40253          ,Polishing Equipment    ,A        ,Processing Equipment,Equipment,TPCE,0              
64             ,Berwick Fillers                  ,583.85,487.51,12             ,463.13,5              ,Dollar General Corporation             ,Antoinette Hickey; 3988 Chanced Avenue        ,S Middleton     ,PA,17007          ,Fillers                ,D        ,Miscellaneous       ,Misc,TPCE,0              
44             ,Birthdays Manufacturing Equipment,196.56,173.17,2              ,161.05,6              ,First Bancshares Incoporated.          ,Jensine Lease; 11885 Aural Turnpike           ,Louisville      ,KY,40253          ,Manufacturing Equip    ,A        ,Processing Equipment,Equipment,TPCE,0              
43             ,Blazed Covers                    ,495   ,416.79,13             ,404.29,7              ,Afg Industries Incoporated.            ,Dorothy Polk; 5377 Cookbook Circle            ,Vero Beach      ,FL,32967          ,Covers                 ,D        ,Miscellaneous       ,Misc,TPCE,0              
29             ,Bluest Fillers                   ,507.35,428.2 ,12             ,398.23,3              ,Black Hills Corporation                ,Edena Gilbert; 1618 Greenland Street          ,Tallahassee     ,FL,32304          ,Fillers                ,D        ,Miscellaneous       ,Misc,TPCE,0              
36             ,Bomber Photo Equipment           ,461.34,400.44,1              ,380.42,8              ,American General Ventures Incoporated. ,Kimberly Yarborough; 1616 Goggles Drive       ,Sterling        ,KS,67579          ,Photo Equipment        ,A        ,Processing Equipment,Equipment,TPCE,0              
55             ,Bumblers Plastic Supplies        ,545.31,466.24,7              ,447.59,6              ,First Bancshares Incoporated.          ,Jensine Lease; 11885 Aural Turnpike           ,Louisville      ,KY,40253          ,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies,TPCE,1              
42             ,Carelessly Freezing Chemicals    ,559.67,467.88,11             ,425.77,5              ,Dollar General Corporation             ,Antoinette Hickey; 3988 Chanced Avenue        ,S Middleton     ,PA,17007          ,Freezing Chemicals     ,C        ,Chemicals           ,Chemicals,TPCE,0              
25             ,Chalmers Polishing Equipment     ,289.17,242.61,3              ,223.2 ,8              ,American General Ventures Incoporated. ,Kimberly Yarborough; 1616 Goggles Drive       ,Sterling        ,KS,67579          ,Polishing Equipment    ,A        ,Processing Equipment,Equipment,TPCE,0              
58             ,Characterization Plastic Supplies,231.68,185.58,7              ,168.88,9              ,Fedders Corporation                    ,Virgil Hubert; 7844 Carelessly Drive          ,Overlook        ,WA,98366          ,Plastic Supplies       ,B        ,Disposable Supplies ,Supplies,TPCE,0              
32             ,Chartable Photo Equipment        ,410.17,347.41,1              ,312.67,3              ,Black Hills Corporation                ,Edena Gilbert; 1618 Greenland Street          ,Tallahassee     ,FL,32304          ,Photo Equipment        ,A        ,Processing Equipment,Equipment,TPCE,0              
35             ,Chromium Photo Equipment         ,565.5 ,457.49,1              ,425.47,9              ,Fedders Corporation                    ,Virgil Hubert; 7844 Carelessly Drive          ,Overlook        ,WA,98366          ,Photo Equipment        ,A        ,Processing Equipment,Equipment,TPCE,1              
7              ,Commendation Fillers             ,436.33,380.04,12             ,364.84,9              ,Fedders Corporation                    ,Virgil Hubert; 7844 Carelessly Drive          ,Overlook        ,WA,98366          ,Fillers                ,D        ,Miscellaneous       ,Misc,TPCE,0              
37             ,Concentrators Polishing Equipment,584.57,524.94,3              ,482.94,4              ,Immunex Corporation                    ,Elbert Glad; 5841 Pervades Drive              ,Fairfax         ,VA,22035          ,Polishing Equipment    ,A        ,Processing Equipment,Equipment,TPCE,0              
41             ,Consideration Tray Supplies      ,172.56,146.85,8              ,139.51,8              ,American General Ventures Incoporated. ,Kimberly Yarborough; 1616 Goggles Drive       ,Sterling        ,KS,67579          ,Tray Supplies          ,B        ,Disposable Supplies ,Supplies,TPCE,0              
33             ,Consumable Tray Supplies         ,395.7 ,347.42,8              ,337   ,6              ,First Bancshares Incoporated.          ,Jensine Lease; 11885 Aural Turnpike           ,Louisville      ,KY,40253          ,Tray Supplies          ,B        ,Disposable Supplies ,Supplies,TPCE,0              
73             ,Cosgrove Jacks                   ,298.87,267.79,15             ,254.4 ,7              ,Afg Industries Incoporated.            ,Dorothy Polk; 5377 Cookbook Circle            ,Vero Beach      ,FL,32967          ,Jacks                  ,D        ,Miscellaneous       ,Misc,TPCE,0              
61             ,Courthouses Manufacturing Equipme,285.62,243.63,2              ,231.45,6              ,First Bancshares Incoporated.          ,Jensine Lease; 11885 Aural Turnpike           ,Louisville      ,KY,40253          ,Manufacturing Equip    ,A        ,Processing Equipment,Equipment,TPCE,0              
13             ,Coward Covers                    ,429.79,348.99,13             ,328.05,9              ,Fedders Corporation                    ,Virgil Hubert; 7844 Carelessly Drive          ,Overlook        ,WA,98366          ,Covers                 ,D        ,Miscellaneous       ,Misc,TPCE,0              
90             ,Curiouser Cleaning Supplies      ,419.36,364.42,5              ,338.91,5              ,Dollar General Corporation             ,Antoinette Hickey; 3988 Chanced Avenue        ,S Middleton     ,PA,17007          ,Cleaning Supplies      ,B        ,Disposable Supplies ,Supplies,TPCE,0              
23             ,Decided Tray Supplies            ,233.3 ,202.27,8              ,198.22,5              ,Dollar General Corporation             ,Antoinette Hickey; 3988 Chanced Avenue        ,S Middleton     ,PA,17007          ,Tray Supplies          ,B        ,Disposable Supplies ,Supplies,TPCE,0              
10             ,Defeated Tray Supplies           ,559.74,476.9 ,8              ,448.29,8              ,American General Ventures Incoporated. ,Kimberly Yarborough; 1616 Goggles Drive       ,Sterling        ,KS,67579          ,Tray Supplies          ,B        ,Disposable Supplies ,Supplies,TPCE,0              
